Date;Produit;Region;Valeur
24/02/2022;ARTICHAUTS;Casablanca-Settat;5
24/02/2022;PETITS POIS VERTS;Casablanca-Settat;12
24/02/2022;ORANGES;Casablanca-Settat;3
24/02/2022;FRAISES;Casablanca-Settat;17.5
24/02/2022;FEVEROLES;Casablanca-Settat;6.5
24/02/2022;HARICOTS VERTS;Casablanca-Settat;13
23/02/2022;BETTERAVES ROUGE;Casablanca-Settat;8
23/02/2022;THE VERT SULTAN;Casablanca-Settat;40
23/02/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;7
23/02/2022;PIMENTS;Casablanca-Settat;13
23/02/2022;CHOUX FLEURS;Casablanca-Settat;2.66
